"","p_ab_c_ab","p_ab_c_mean","p_ab_neg_c_ab","p_ab_neg_c_mean","p_boot_c_ab","p_boot_c_mean","p_boot_neg_c_ab","p_boot_neg_c_mean","p_opsign_ci","n_conv_warn","n_singular","ab","boot_ab","X2.5.","X97.5.","X0.","X25.","X50.","X75.","X100.","J","a","b","boottype","c_p","mc.cores","n_j","niter","nperms","nreps","optimizer","permtype","reform","save_dir","simtype","simulation_name","theta_ab"
"179",0.548,0.514,0.4732,0.5084,0.514,0.4832,0.4436,0.4732,0.4732,0,0,0.000468349943465438,-0.000862324237366932,-0.0368118044833581,0.0353496055670119,-0.0659575111189638,-0.0126017267905537,-0.000967970548046776,0.0108171052874901,0.064925466986054,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"180",0.1576,0.3152,0.5152,0.3216,0.3152,0.5244,0.7184,0.5152,0.4848,0,0,-0.00945299426938229,0.000948069430177355,-0.0385283378445404,0.041102243563138,-0.0648719307736695,-0.0122370786229557,0.000629019297374691,0.0141908767150405,0.0816410033202589,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"181",0.7896,0.6156,0.4036,0.6196,0.6156,0.4028,0.2256,0.4036,0.4036,0,0,0.00521241075364893,-0.00431119600517697,-0.0427278852015049,0.0309365411572919,-0.0807487446688745,-0.0159023557782218,-0.00408511913596155,0.00825765644551533,0.0646403892933357,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"182",0.5944,0.556,0.5164,0.5536,0.556,0.5136,0.4744,0.5164,0.4836,0,0,0.00191946589137348,0.000474176596479032,-0.0295052644620716,0.031095855685121,-0.058997099007885,-0.00999325357304994,0.000501414071217868,0.0107657659540244,0.0563657879586626,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"183",0.9008,0.7624,0.5408,0.76,0.7624,0.5384,0.3016,0.5408,0.4592,0,0,0.00865018404817585,0.00124984371342976,-0.0240046936122787,0.0263575149414283,-0.0607822426369635,-0.00703058524273153,0.0011710067120073,0.0093596130533854,0.0724845696459443,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"184",0.1136,0.2704,0.5008,0.2648,0.2704,0.5204,0.7472,0.5008,0.4992,0,1,-0.0109551704228817,0.000448958912244498,-0.0356234078340619,0.0386645661815663,-0.0759459326316931,-0.0115217632749268,8.28956600583627e-05,0.0121526795547972,0.0691072079275662,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"185",0.952,0.7592,0.426,0.772,0.7592,0.4148,0.1192,0.426,0.426,0,224,0.0109807547119751,-0.00329872438611596,-0.0346914812973773,0.0263335136808441,-0.0794213154398041,-0.013174951261125,-0.00320504373952559,0.0073471487339225,0.0486250605403675,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"186",0.1384,0.3428,0.596,0.3284,0.3428,0.6012,0.8192,0.596,0.404,0,0,-0.00876351501294633,0.0051351646941082,-0.0340059905253259,0.0465680909382229,-0.0531587715911341,-0.00900602586944288,0.00491760934149602,0.0190414395300734,0.0852948116839691,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"187",0.0048,0.0756,0.4388,0.076,0.0756,0.4292,0.8636,0.4388,0.4388,0,0,-0.0287203536674215,-0.00328553224852699,-0.0428093268716562,0.0352595781563653,-0.0827414083843594,-0.0168921104375051,-0.00306105692623353,0.00994218462117051,0.0746332727384591,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
"188",8e-04,0.0468,0.4364,0.0396,0.0468,0.438,0.92,0.4364,0.4364,0,0,-0.0426613137074624,-0.00394767888596122,-0.0529618279083656,0.0456070282366991,-0.08761055761977,-0.0199637207721213,-0.00393607332839927,0.0121553790290546,0.0849931724454731,100,0,0,"parametric",0,24,10,2500,2500,500,"bobyqa","within","NA","/net/holynfs01/srv/export/mclaughlin/share_root/users/jflournoy/data/boot","bootstrap","boot_NA_par_0",0.2
